,Fact,Note
22,"
        Lorsque Chuck Norris va au cinema et que son portable sonne, on met sur pause.
 ",9.16 / 10 
23,"
        Quand Chuck Norris viole la loi, elle en redemande.
 ",9.16 / 10 
24,"
        Chuck Norris a gagné un tournoi de poker avec des cartes pokémon
 ",9.16 / 10 
25,"
        Chuck Norris a déjà eu Alzheimer. Il s'en souvient très bien.
 ",9.16 / 10 
26,"
        Chuck Norris a planté son ordinateur. Et il a fleuri.
 ",9.16 / 10 
27,"
        Un jour Chuck Norris a lu le dictionnaire. Il a compris l'histoire.
 ",9.16 / 10 
28,"
        Si Mickey a quatre doigts, c'est parce qu'il a fait un doigt d'honneur à Chuck Norris.
 ",9.16 / 10 
29,"
        Chuck Norris joue au cerf-volant avec de vrais cerfs.
 ",9.16 / 10 
30,"
        Chuck Norris n'est pas égal à lui-même, il est meilleur.
 ",9.16 / 10 
31,"
        Chuck Norris a accroché Magneto des X-men sur son frigo.
 ",9.15 / 10 
32,"
        A l'école Chuck Norris ne faisait pas une sarbacane avec ses vieux stylos, il faisait un 357 magnum
 ",9.15 / 10 
33,"
        Chuck Norris a déjà compté jusqu'à l'infini. Deux fois.
 ",9.15 / 10 
34,"
        Comme la foudre, Chuck Norris ne frappe jamais deux fois au même endroit. Pas besoin.
 ",9.15 / 10 
35,"
        Chuck Norris peut te prouver que la condamnation à mort n'est pas la peine maximale.
 ",9.15 / 10 
36,"
        Quand Chuck Norris joue à Resident Evil, ce sont les zombies qui doivent survivre...
 ",9.15 / 10 
37,"
        Si le Titanic a coulé, c'est parce que Chuck Norris avait entendu un blondinet crier ""Je suis le maître du monde!"".
 ",9.15 / 10 
38,"
        Quand Chuck Norris regarde la vérité en face, elle baisse les yeux
 ",9.15 / 10 
39,"
        Chuck Norris n'a pas reçu son diplôme du bac. Les correcteurs comptent encore les points.
 ",9.15 / 10 
40,"
        A son mariage, Chuck Norris avait Oncle Ben's en personne pour lui jeter du riz.
 ",9.15 / 10 
41,"
        Chuck Norris a déja frôlé la mort....elle ne s'en est jamais remise.
 ",9.15 / 10 
42,"
        Il n'y avait pas 12 mais 13 travaux d'Hercule. Le 13ème étant de mettre une baffe à Chuck Norris. Depuis, le 13 porte malheur.
 ",9.15 / 10 
43,"
        Si Chuck Norris dit que tu vas passer un sale quart d'heure, rassure-toi, tu ne tiendras pas aussi longtemps.
 ",9.15 / 10 
44,"
        Chuck Norris connait la dernière décimale de Pi, et celle d'après aussi.
 ",9.15 / 10 
45,"
        Moïse a coupé la mer en deux. Chuck Norris l'a recollé en disant ""tu refais ça, je te pète la gueule"".
 ",9.15 / 10 
46,"
        Chuck Norris a gagné Need for Speed en respectant le code de la route.
 ",9.15 / 10 
47,"
        Quand Chuck Norris fait du ski tout nu, il laisse 3 traces dans la neige.
 ",9.15 / 10 
48,"
        Chuck Norris a fait loucher un cyclope.
 ",9.15 / 10 
49,"
        Chuck Norris a invité Albert Einstein à son dîner de cons.
 ",9.15 / 10 
50,"
        Chuck Norris a retrouvé Ornicar.
 ",9.14 / 10 
51,"
        Quand Chuck Norris s'est mis aux arts martiaux, les Japonais se sont reconvertis dans les jeux videos.
 ",9.14 / 10 
52,"
        Quand Chuck Norris laisse sa voiture ouverte la nuit dans une cité difficile, le lendemain matin il la retrouve nettoyée, aspirée avec des lettres de remerciements.
 ",9.14 / 10 
53,"
        Quand Chuck Norris lui dit qu'il est gros, Obélix ferme sa gueule.
 ",9.14 / 10 
54,"
        Chuck Norris a battu le record de saut à la perche, sans prendre d'élan. Et sans perche. Et sans sauter.
 ",9.14 / 10 
55,"
        Chuck Norris est vraiment le 100 000ème internaute à voir cette bannière et à remporter la voiture.
 ",9.14 / 10 
56,"
        A Halloween les enfants qui se déguisent en Chuck Norris et qui demandent des bonbons chez les voisins repartent avec les bonbons, la carte de crédit, les clefs de la voiture et la femme du voisin.
 ",9.14 / 10 
57,"
        Chuck Norris peut y aller par 4 chemins
 ",9.14 / 10 
58,"
        Si Chuck Norris beurre une tartine des deux côté elle retombera sur la tranche.
 ",9.14 / 10 
59,"
        Aux Jeux Olympiques, Chuck Norris a été disqualifié de l'épreuve de natation. Il courait sur l'eau.
 ",9.14 / 10 
60,"
        Si la douleur n'est qu'une information pour le Terminator, elle n'est qu'une rumeur sans fondement pour Chuck Norris.
 ",9.14 / 10 
61,"
        C'est Chuck Norris qui a décidé que toute phrase se terminait par un poing.
 ",9.14 / 10 
62,"
        Contrairement à ce que croient ceux qui se lèvent tôt, le monde appartient à Chuck Norris.
 ",9.14 / 10 
63,"
        Un jour, un canard et un castor se sont foutu de la gueule de Chuck Norris. Depuis, l'ornithorynque a vraiment l'air d'un con.
 ",9.14 / 10 
64,"
        Archimède a dit: ""Donnez moi un point d'appui, un levier, et je vous soulèverai le monde!"".
Chuck Norris a dit: ""Donnez moi 30 secondes!"".
 ",9.14 / 10 
65,"
        Indiana Jones a survécu à l'explosion d'une bombe nucléaire en se cachant dans un frigo. Chuck Norris a survécu à la chute de l'astéroïde qui pulvérisa les dinosaures en mettant un k-way.
 ",9.14 / 10 
66,"
        Chuck Norris x 0 = Chuck Norris. On élimine pas Chuck Norris aussi facilement.
 ",9.14 / 10 
67,"
        Chuck Norris a déjà bu toute l'eau du robinet.
 ",9.14 / 10 
68,"
        Quand Chuck norris achète un produit et que le deuxième est gratuit, il ne prend que le deuxième.
 ",9.13 / 10 
69,"
        Le fusil a pompe de Chuck Norris est en prison pour port d'arme illégal.
 ",9.13 / 10 
70,"
        Les seuls qui ont osé défier Chuck Norris sont: les dinosaures, le gouvernement de l'Atlantide et Charlie.
Résultat: tous ont disparu, mais on cherche encore Charlie !
 ",9.13 / 10 
71,"
        Chuck Norris a une vision très nette du flou.
 ",9.13 / 10 
72,"
        Selon certaines sources, il y aurait un spermatozoïde de Chuck Norris dans un lac écossais...
 ",9.13 / 10 
73,"
        Chuck Norris a eu 20/20 au bac philo 2009 en répondant ""pas pour moi"" à la question ""est il absurde de désirer l'impossible ?"".
 ",9.13 / 10 
74,"
        Quand Chuck Norris va aux toilettes, il y a toujours du papier. Chuck Norris n'est jamais au bout du rouleau.
 ",9.13 / 10 
75,"
        La dernière fois que Chuck Norris a joué a Call of Duty, c'était de 1939 à 1945.
 ",9.13 / 10 
76,"
        Wall Street n'est que la 3ème bourse au monde, il y a d'abord les deux de Chuck Norris.
 ",9.13 / 10 
77,"
        La foudre est tombée à 1 mètre de Chuck Norris... Elle a eu chaud.
 ",9.13 / 10 
78,"
        Gandhi : ""La violence ne résout rien !"" 
Chuck Norris : ""Parce que tu ne frappes pas assez fort""...
 ",9.13 / 10 
79,"
        Si Chuck Norris n'utilise pas l'Oreal, c'est parce qu'il vaut mieux.
 ",9.13 / 10 
80,"
        Les extraterrestres qui ont été enlevé se rappellent juste d'avoir été ébloui par les phares d'un pick-up...
 ",9.13 / 10 
81,"
        Chuck Norris a déjà couru une minute en moins de soixante secondes.
 ",9.13 / 10 
82,"
        Chuck Norris peut plier une chips sans la briser.
 ",9.13 / 10 
83,"
        Quand Chuck Norris ne répond pas correctement à une énigme du Père Fouras, c'est le Père Fouras qui plonge pour chercher la clef.
 ",9.13 / 10 
84,"
        Si Chuck Norris te donne rendez-vous le 30 Fevrier, tu y vas.
 ",9.13 / 10 
85,"
        Chuck Norris a réalisé un film avec Paint
 ",9.13 / 10 
86,"
        Chuck Norris a retrouvé le pain perdu.
 ",9.13 / 10 
87,"
        Avec un concombre, une boîte de thon et de l'huile d'olive, Chuck Norris fait de très bons brownies au chocolat.
 ",9.13 / 10 
88,"
        Chuck Norris sait qui est le méchant dans Tetris.
 ",9.13 / 10 
89,"
        Quand Chuck Norris fait le Tour de France, il passe par les DOM TOM sinon c'est trop facile.
 ",9.13 / 10 
90,"
        Chuck Norris a déjà battu la montre dans une course contre la montre.
 ",9.13 / 10 
91,"
        Chuck Norris peut dire Schweppes en verlan.
 ",9.13 / 10 
92,"
        Le PC de Chuck Norris ne lui demande jamais s'il est sûr de vouloir l'éteindre. Il a confiance.
 ",9.13 / 10 
93,"
        Quand Chuck Norris se couche, l'espérance de vie humaine est multipliée par 2.
 ",9.13 / 10 
94,"
        Un jour, Chuck Norris a pété un câble. Ainsi est né le wi-fi.
 ",9.13 / 10 
95,"
        Chuck Norris cueille les cerises avec la queue, alors que beaucoup galèrent encore avec la main.
 ",9.13 / 10 
96,"
        Quand Chuck Norris couche avec une femme mariée, c'est le mari qui se cache dans le placard.
 ",9.13 / 10 
97,"
        Chuck Norris ne dépose pas d'argent à la banque. Chuck Norris n'épargne rien, ni personne.
 ",9.13 / 10 
98,"
        Chuck Norris devait jouer dans ""Titanic"" mais c'est finalement un iceberg qui a eu le rôle...
 ",9.13 / 10 
99,"
        Sur Facebook, Chuck Norris dispose de l'option ""ajouter comme ennemi"".
 ",9.13 / 10 
100,"
        Chuck Norris a toujours raison.
Et s'il a tort, c'est qu'il a raison d'avoir tort.
 ",9.13 / 10 
101,"
        Quand Chuck Norris marche sur un rateau, le rateau se prend Chuck Norris dans la gueule.
 ",9.12 / 10 
102,"
        Chuck Norris peut mettre un headshot au cavalier sans tête.
 ",9.12 / 10 
103,"
        Les Experts Miami ont trouvé plus de 50.000 ADN différents sur la semelle de la chaussure droite de Chuck Norris.
 ",9.12 / 10 
104,"
        Chuck Norris a fini ""Zelda Ocarina of Time"" plusieurs fois. Un jour, un mec lui a demandé de l'aide pour trouver l'épée au début, et Chuck Norris a répondu ""Quelle épée ?"".
 ",9.12 / 10 
105,"
        On ne sait toujours pas si Chuck Norris est mauvais perdant.
 ",9.12 / 10 
106,"
        Dans un examen de maths, Chuck Norris a répondu ""Violence"" à toutes les réponse. Il a eu 20/20 à son épreuve car Chuck Norris résoud tous ses problèmes par la violence
 ",9.12 / 10 
107,"
        Hercule est un demi Dieu et Dieu est un demi Chuck Norris.
 ",9.12 / 10 
108,"
        Quand Chuck Norris chante sous sa douche, les Rolling Stones assurent la première partie.
 ",9.12 / 10 
109,"
        Quand il fait ses besoins en forêt, Chuck Norris s'essuie avec un ours.
 ",9.12 / 10 
110,"
        Il y a bien longtemps Chuck Norris et Dieu se sont battus. Vous avez vu Dieu récemment ?
 ",9.12 / 10 
111,"
        Chuck Norris peut claquer des doigts de pied.
 ",9.12 / 10 
112,"
        Chuck Norris a déjà vu l'épisode où Coyote attrape Bip Bip
 ",9.12 / 10 
113,"
        Quand Chuck Norris mange un petit écolier, il recrache le cartable et les chaussures.
 ",9.12 / 10 
114,"
        Lorsque Chuck Norris fait l'amour à sa femme, la voisine du dessus jouit aussi...
 ",9.12 / 10 
115,"
        Chuck norris est le seul roux à qui l'on a jamais fait de remarque sur la couleur de ses cheveux...
 ",9.12 / 10 
116,"
        Après un épisode de Walker Texas Ranger, il y a toujours plusieurs épisodes de FBI porté disparu. Coïncidence ? Je ne pense pas...
 ",9.12 / 10 
117,"
        Quand Chuck Norris fait une erreur lors de l'examen d'histoire, l'histoire change
 ",9.12 / 10 
118,"
        Quand Chuck Norris télécharge de la musique illégalement, il reçois des lettres de remerciement des artistes.
 ",9.12 / 10 
119,"
        Il n'y aura jamais ""Chuck Norris contre les lapins crétins"".

Ils sont crétins, pas fous.
 ",9.12 / 10 
120,"
        Chuck Norris traverse le terrain d'Olive et Tom en moins d'un épisode
 ",9.12 / 10 
121,"
        Flash a découvert ses pouvoirs quand il a fait un doigt d'honneur à Chuck Norris.
 ",9.12 / 10 
122,"
        Quand on meurt on ne voit pas de lumiere blanche ni sa vie défiler devant ses yeux. Par contre on entend le générique de fin de Walker Texas Ranger
 ",9.12 / 10 
123,"
        Certains arrivent à faire des O en expirant la fumée d'un cigare. Chuck Norris, lui, sait reproduire l'intégralité de l'alphabet chinois.
 ",9.12 / 10 
124,"
        Quand Chuck Norris dit ""ta gueule"", il te prévient juste de l'endroit où il va frapper...
 ",9.12 / 10 
125,"
        Quand Chuck Norris fait un avion en papier, airbus achète.
 ",9.12 / 10 
126,"
        Chuck Norris peut se cacher dans une pièce vide.
 ",9.11 / 10 
127,"
        Un jour, Chuck Norris a souri à une inconnue. La fille est tombée enceinte. Depuis on construit des églises pour vénérer l'enfant.
 ",9.11 / 10 
128,"
        Un jour Chuck Norris a viré deux squatteurs de son jardin. Depuis on a plus de nouvelles d'Adam et Eve.
 ",9.11 / 10 
129,"
        Chuck Norris a déjà terminé une peine de prison à perpétuité
 ",9.11 / 10 
130,"
        La seule chose qui est écrite sur le CV de Chuck Norris, cest son nom.
 ",9.11 / 10 
131,"
        Quand Chuck Norris à six étoiles dans GTA, les policiers quittent la ville.
 ",9.11 / 10 
132,"
        Chuck Norris sait employer le mot ""fur"" ailleurs que dans ""au fur et à mesure"".
 ",9.11 / 10 
133,"
        Quand Chuck Norris veut ouvrir une porte a Ford-Boyard, il utilise Passe-Partout...
 ",9.11 / 10 
134,"
        Une société voulait faire un moulage du sexe de Chuck Norris pour concevoir un sex-toys, finalement c'est EADS qui récupéra les plans pour développer Ariane 5.
 ",9.11 / 10 
135,"
        On dit que Terminator tue tout ce qui bouge.
Chuck Norris tue aussi ce qui ne bouge pas.
 ",9.11 / 10 
136,"
        Chuck Norris peut ressusciter un angle mort.
 ",9.11 / 10 
137,"
        Quand Chuck Norris arrivait en retard à l'école, le professeur s'excusait d'avoir commencé le cours sans lui .
 ",9.11 / 10 
138,"
        Jésus : Buvez ce vin, c'est mon sang.
Chuck Norris : Mangez cette patate, c'est mon poing.
 ",9.11 / 10 
139,"
        Quand il joue à qui veut gagner des millions, Chuck Norris peut prendre la vie du public.
 ",9.11 / 10 
140,"
        Les timbres à l'effigie de Chuck Norris sont gratuits, on ne se paie pas la tête de Chuck...
 ",9.11 / 10 
141,"
        Pi est égale a 3,14...Pas par coïncidence, seulement parce que la 3eme lettre de l'alphabet est C et la 14eme est N...
Pi=CN=Chuck Norris
 ",9.11 / 10 
142,"
        La femme a 2 chromosomes X, l'Homme a un chromosome X et un chromosome Y, Chuck Norris a 2 chromosomes Y. Chuck Norris n'a rien d'une femme.
 ",9.11 / 10 
143,"
        Quand Chuck Norris va voir un match du PSG avec une écharpe de l'OM, les supporters lui disent ""bonjour monsieur""
 ",9.1 / 10 
144,"
        Un jour, Chuck Norris a été mordu par une araignée génétiquement modifiée par un scientifique fou. Depuis, l'araignée porte un chapeau de cow-boy.
 ",9.1 / 10 
145,"
        Quand Chuck Norris joue à Nintendogs, il a automatiquement armes et munitions infines.
 ",9.1 / 10 
146,"
        Chuck Norris a battu l'homme invisible à cache-cache.
 ",9.1 / 10 
147,"
        Le dernier mec qui avais un cheveux sur la langue et a dit ""fuck norris"" n'a toujours pas donné signe de vie.
 ",9.1 / 10 
148,"
        Un jour, Chuck Norris a parié qu'il pouvait sodomiser un ours. Il a gagné son pari. Neuf mois plus tard naissait Sébastien Chabal.
 ",9.1 / 10 
149,"
        Lorsque Chuck Norris n'arrive pas à dormir, les moutons lui disent combien ils sont.
 ",9.1 / 10 
150,"
        Quand Chuck Norris gagne à Questions pour un champion, il gagne un écran plat et une playstation 3 à la place du dictionnaire.
 ",9.1 / 10 
151,"
        Quand Chuck Norris dit ""dans ton cul""... vérifie.
 ",9.1 / 10 
152,"
        Un jour, Chuck Norris a dessiné 2 points sur une feuilles...Bizarrement,ils n'étaient pas alignés.
 ",9.1 / 10 
153,"
        Chuck Norris peut demander à un muet d'appeler un sourd pour qu'il fasse signe à un aveugle .
 ",9.1 / 10 
154,"
        Personne n'a jamais encore indiqué à Chuck Norris où se trouvaient les toilettes. On envoie pas chier Chuck Norris.
 ",9.1 / 10 
155,"
        Chuck Norris peut mimer le verbe ""mimer""
 ",9.1 / 10 
156,"
        Chuck Norris peut crocheter la porte des étoiles.
 ",9.1 / 10 
157,"
        Chuck Norris se sert d'un vrai canard pour nettoyer ses WC.
 ",9.1 / 10 
158,"
        Les gens qui ont une dent contre Chuck Norris nen ont pas dautres.
 ",9.1 / 10 
159,"
        Chuck Norris a deja mis enceinte une poupée gonflable. Ainsi est né Chucky, la poupée qui tue.
 ",9.1 / 10 
160,"
        Chuck Norris peut regarder un porno en entier... et en comprendre l'intrigue.
 ",9.1 / 10 
161,"
        Les ragots qui circulaient sur Chuck Norris n'ont ni queue ni tête... et ceux qui les racontaient non plus
 ",9.1 / 10 
162,"
        Quand Chuck Norris se fait flasher, la police encadre sa photo.
 ",9.1 / 10 
163,"
        Une fois, le Père Noël a oublié le cadeau du petit Chuck Norris. 
Depuis, ce sont les parents qui achètent les cadeaux.
 ",9.1 / 10 
164,"
        Windows ne demande jamais à Chuck Norris d'envoyer le rapport d'erreur. Bill Gates vient le chercher lui même, avec toutes ses excuses.
 ",9.1 / 10 
165,"
        Chuck Norris ne ment pas, il rectifie la vérité
 ",9.1 / 10 
166,"
        Quand Chuck Norris fait un tacle par derriere, l'Italien n'a pas besoin de faire semblant d'avoir mal.
 ",9.09 / 10 
167,"
        Quand Chuck Norris joue au bowling, la boule ne va jamais dans la rigole.
On ne rigole pas avec Chuck Norris.
 ",9.09 / 10 
168,"
        La première fois que Jesus a vu Chuck Norris, il est resté cloué sur place.
 ",9.09 / 10 
169,"
        Sur la session MSN de Chuck Norris, il y a une option ""tuer le contact"".
 ",9.09 / 10 
170,"
        La Terre a effectivement été plate à une époque tout comme le soleil a tourné autour de la Terre. Mais un jour Chuck Norris a arrêté de faire le con et a tout remis comme il l'avait trouvé.
 ",9.09 / 10 
171,"
        Quand Chuck Norris dit qu'il va te tirer les oreilles ne le provoque pas, demande à Mickey...
 ",9.09 / 10 
172,"
        La zone 51 est en réalité la reserve personnelle de pastis de Chuck Norris.
 ",9.09 / 10 
173,"
        Avant, Gandhi était un jeune skinhead qui écumait les bars de Calcutta et se bastonnait avec tout le monde. Puis un jour, Chuck Norris lui a dit : « Dernier avertissement : maintenant, tu te calmes. ».
 ",9.09 / 10 
174,"
        Chuck Norris a fini Super Mario Bros en 2 secondes, Bowser est venu s'excuser et lui a rendu la princesse, il est mort quand même...
 ",9.09 / 10 
175,"
        Chuck Norris peut coiffer ses playmobils
 ",9.09 / 10 
176,"
        Quand Chuck Norris mange une orange il n'enlève pas la peau.
Normal, Chuck ne fait pas de quartier.
 ",9.09 / 10 
177,"
        La seule fois où Chuck Norris a pleuré au cinéma, c'était en regardant massacre à la tronçonneuse, quand le type n'a plus d'essence.
 ",9.09 / 10 
178,"
        Chuck Norris a déjà fait 6 fois le tour du soleil. A la nage.
 ",9.09 / 10 
179,"
        Le monde se divise en deux catégories : ceux qui aiment Chuck Norris et les morts.
 ",9.09 / 10 
180,"
        Au monopoly Chuck Norris peut acheter la case départ et la case prison.
 ",9.09 / 10 
181,"
        Si on loue le Seigneur, c'est parce que Chuck Norris est hors de prix.
 ",9.09 / 10 
182,"
        La différence entre Chuck Norris et King-Kong ? L'un est imbatable, très fort,très poilu ; l'autre est un Gorille géant.
 ",9.09 / 10 
183,"
        Quand il est marqué ""pousser"" sur une porte, Chuck Norris tire et la porte s'ouvre... Même un objet dépourvu d'instinct sait qu'on ne contrarie pas Chuck Norris!
 ",9.09 / 10 
184,"
        Chuck Norris peut planter des marteaux avec un clou.
 ",9.09 / 10 
185,"
        Chuck Norris est le seul homme à avoir une Bible dédicacée.
 ",9.09 / 10 
186,"
        Même sans prononcer son nom, on sait de qui je parle.
 ",9.09 / 10 
187,"
        Chuck Norris a créé la pierre philosophale un jour de TP de chimie au collège...
 ",9.09 / 10 
188,"
        Chuck Norris peut écrire ""anticonstitutionnellement"" en pissant dans la neige.
 ",9.09 / 10 
189,"
        Chuck Norris a été enlevé par les extra-terrestres en 1987. Depuis nous sommes seuls dans l'univers.
 ",9.09 / 10 
190,"
        Chuck Norris n'a pas peur d'une attaque cardiaque, en effet son cur n'est pas assez fou pour l'attaquer.
 ",9.09 / 10 
191,"
        La mère de Chuck Norris est vierge, on ne nique pas la mère de Chuck Norris...
 ",9.09 / 10 
192,"
        Avant d'aller à l'école, Chuck Norris déposait ses parents au travail.
 ",9.09 / 10 
193,"
        Quand Chuck Norris lit un Chuck Norris Fact, il ne rit pas. Il se souvient...
 ",9.09 / 10 
194,"
        Chuck Norris peut couper un cheveu en quatre dans le sens de la longueur. Avec une tronçonneuse.
 ",9.09 / 10 
195,"
        Dieu a dit: ""Lèves-toi et marche"". Puis Chuck Norris a dit : ""tu peux commencer à courir...""
 ",9.09 / 10 
196,"
        Chuck Norris est contre la peine de mort. Il n'aime pas la concurrence.
 ",9.08 / 10 
197,"
        Devinette : Paul et Roger, des ennemis de Chuck Norris, sont dans une voiture. Qui conduit ?

Réponse : L'ambulancier.
 ",9.08 / 10 
198,"
        Quand Chuck Norris frotte une lampe et qu'un génie en sort, le génie a droit à trois voeux.
 ",9.08 / 10 
199,"
        Chuck Norris peut se vanter de sa modestie.
 ",9.08 / 10 
200,"
        l'Odyssée d'Ulysse est fortement inspirée d'une promenade en pédalo de Chuck Norris.
 ",9.08 / 10 
201,"
        Chuck Norris peut briser la nuque d'un invertébré.
 ",9.08 / 10 
202,"
        Chuck Norris a dit un jour que le ridicule peut tuer. Depuis ce jour, les acteurs des Power Rangers changent à chaque saison.
 ",9.08 / 10 
203,"
        Quand Chuck Norris te coupe la parole, tu saignes de la bouche
 ",9.08 / 10 
204,"
        Chuck Norris est le seul homme a avoir un temps de réaction négatif.
 ",9.08 / 10 
205,"
        Chuck Norris est plus fort qu'Alain Delon, Chuck Norris parle de lui à la troisième personne du pluriel.
 ",9.08 / 10 
206,"
        Un jour, par maladresse, Chuck Norris a pissé a côté. Seul Noë et quelques animaux ont survecu.
 ",9.08 / 10 
207,"
        Chuck Norris joue souvent au casse-tête chinois. Avec de vrais chinois.
 ",9.08 / 10 
208,"
        On ne parle jamais du 13ème travail d'Hercule : Il devait vaincre Chuck Norris. Depuis le chiffre 13 porte malheur...
 ",9.08 / 10 
209,"
        Au cours d'un pique nique en forêt, Chuck Norris a malencontreusement oublié une motte de beurre et son couteau planté dedans... la légende d'Excalibur était née.
 ",9.08 / 10 
210,"
        Chuck Norris perd toujours quand il joue à cache-cache. Quand on cherche Chuck Norris, on le trouve...
 ",9.08 / 10 
211,"
        Chuck Norris ne tue pas les mouches, 
Car Chuck Norris n'est pas une Tapette!
 ",9.08 / 10 
212,"
        Quand Chuck Norris s'endort avec le cul qui gratte, il se réveille avec le cul qui sent les doigts.
 ",9.08 / 10 
213,"
        Chuck Norris a déjà gagné au mikado avec des moufles.
 ",9.07 / 10 
214,"
        Quand Chuck Norris entre dans la cuisine, Brian sort.
 ",9.07 / 10 
215,"
        Avoir une photo de Chuck Norris sur soi pendant une épreuve sportive est considéré comme du dopage.
 ",9.07 / 10 
216,"
        Un jour, Chuck Norris a essayé de jouer de la guitare. Humiliés, Kurt Cobain, Sid Vicious et Elliott Smith se sont suicidés. Iggy Pop et David Bowie sont tombés dans la drogue. Ozzie Osbourne a préféré faire de la télé, Elvis a disparu et Sting s'est mis au clavecin.
 ",9.07 / 10 
217,"
        Depuis que Chuck Norris joue, l'important c'est de participer.
 ",9.07 / 10 
218,"
        En réalité c'est Chuck Norris qui créa la femme... il jouait à Chatbite.
 ",9.07 / 10 
219,"
        Quand il joue a ""pierre papier ciseau"", Chuck Norris utilise toujours le poing.
Le poing casse la pierre, le papier, les ciseaux, et surtout ceux qui les tiennent
 ",9.07 / 10 
220,"
        Chuck Norris peut faire l'accent marseillais en langage des signes.
 ",9.07 / 10 
221,"
        Quand Chuck Norris prend le  50/50, on retire 3 mauvaises réponses.
 ",9.07 / 10 
222,"
        Tous les superhéros ont une identité passe-partout. Pour Superman, c'est Clark Kent. Pour Batman, c'est Bruce Wayne. Pour Chuck Norris, c'est Dieu.
 ",9.07 / 10 
223,"
        Fumer réduit vos chances d'être tué par Chuck Norris.
 ",9.07 / 10 
224,"
        Chuck Norris ne pourra jamais être banquier: Chuck Norris n'épargne personne.
 ",9.07 / 10 
225,"
        Dans GTA San Andreas, si vous avez 7 étoiles, c'est que vous êtes recherché par Chuck Norris.
 ",9.07 / 10 
226,"
        Les médecins ont du faire preuve de beaucoup de courage pour apprendre à un cancer qu'il était dans Chuck Norris.
 ",9.07 / 10 
227,"
        Si les Anglais roulent à gauche, c'est parce qu'ils savent que Chuck Norris et son pick up risquent d'arriver à droite.
 ",9.07 / 10 
228,"
        Chuck Norris n'aime pas la violence gratuite, après avoir frappé ses victimes il leur fait une facture.
 ",9.07 / 10 
229,"
        Si Chuck Norris n'a jamais été champion de Formule 1, c'est qu'il est précisé dans le règlement que le vélo est interdit.
 ",9.07 / 10 
230,"
        Maurice le poisson rouge a été retrouvé noyé hier : Chuck Norris a trouvé qu'il poussait le bouchon un peu loin.
 ",9.07 / 10 
231,"
        Si l'emission de Drucker s'appelle ""Vivement Dimanche"" c'est parce que c'est le jour de Walker Texas Ranger.
 ",9.07 / 10 
232,"
        Quand Chuck Norris fixe un aveugle, l'aveugle baisse les yeux
 ",9.07 / 10 
233,"
        Chuck Norris a lancé le javelot à Athenes 2004. Il a atterri à Pékin 2008...
 ",9.06 / 10 
234,"
        Si Carglass remplace, c'est parce que Chuck Norris fracasse.
 ",9.06 / 10 
235,"
        L'airbag du pick-up de Chuck Norris sert à protéger le volant.
 ",9.06 / 10 
